～おき,～置き,隔，每隔
いし,石,石头，石子，胆石；宝石，（手表）钻石，（围棋）棋子，（打火机）火石，电石
いし,医師,医生，大夫，医师
いし,意思,意思，想法，打算
いし,意志,意志，意向，心意，志向
いじ,維持,维持
いじ,意地,心术，用心；固执，倔强
いしかわたくぼく,石川啄木,日本明治时代诗人、小说家与评论家
いしき,意識,意识，认识，觉悟，意识，自觉，知觉
いしきてき,意識的,意识的，故意的，有意识，故意
いじめる,苛める,欺负，捉弄，虐待
いしゃ,医者,医生，大夫
いじゅう,移住,移住，移居，定期迁栖，回游
いしょう,衣装,服装，剧装，戏装，衣裳，衣服
いじょう,以上,以上，不少于，不止，超过，上面；再，更；（写信写文章的末尾）就此结束；既然
いじょう,異常,异常，非常，不寻常，反常
いしょくじゅう,衣食住,衣食住，吃穿住
いじる,弄る,摆弄，玩弄，拨弄，抚弄
いじわる,意地悪,使坏，刁难，捉弄，作难，心眼坏（的人）
いす,椅子,椅子，凳子，小凳子；地位，职位
いずおおしま,伊豆大島,又称为大岛，为日本伊豆群岛的岛屿，位于神奈川县正南方60公里的太平洋中，行政区划属于东京都大岛町
いずみ,泉,泉，泉水，源泉，泉源
いずれ,何れ,哪个，哪一方面；哪里；不久，最近，改日，左右；反正，早晚，归根到底
いせい,威勢,劲头，朝气，精神；威力
いせい,異性,异性，异构
いせき,遺跡,故址，遗迹，古迹，遗址
いぜん,依然,依然，仍旧，照旧
いぜん,以前,以前，过去
いぜんとして,依然として,依然，仍然，仍旧，照旧
いぜんにまして,以前にまして,比从前更
いそう,移送,转移，转运，输送，转送；（法）移交（将办理某一案件的权限移交给其它法律机关）
いそがしい,忙しい,忙的，忙碌的，急急忙忙，忙叨叨的
いそぐ,急ぐ,快，急，加快，赶紧
いぞん,依存,依存，依靠，赖以生存，依赖
いた,板,板，木板，金属薄板，薄石板，版，金属板
いたい,痛い,痛的，疼的，疼痛；痛苦的，难过，难受的，恼人的
いだい,偉大,伟大，宏伟
いたく,委託,委托，托付
いだく,抱く,抱，搂，怀抱；怀有，抱有
いたす,致す,（谦逊词）做，为，办；致，招致
いたずら,悪戯,淘气，恶作剧，玩笑，闹着玩儿
いただき,戴き,（我方）赢到家，赢定了
いただき,頂,顶部
いただく,頂く,顶，戴，顶在头上，顶在上面；推戴；（自谦语）领受；喝，吃；请
いたって,至って,很，非常，极其；至，到
いたみ,痛み,痛，疼，悲痛，难过
いたむ,痛む,痛，疼，疼痛；痛苦，苦恼，悲痛
いためる,炒める,炒（菜），煎，爆
いためる,傷める,（器具，建筑物等）损害；（水果等）弄坏，使腐烂
イタリア,Italia,（国名）意大利
いたる,至る,至，到，到来，来临
いたわる,労わる,关怀，爱护，照顾；安慰，慰劳；怜悯
いち,市,集市，市场，市街
いち,位置,位置，场所；地位
いちいち,一々,一一，一个一个地，逐一；详细，都，全部
いちおう,一応,一次，一下；姑且，暂且；一并；大致，大体，大略
いちがいに,一概に,一概，笼统地
いちがいに～ない,一概に～ない,一概不
いちじ,一時,某事，有一个时期，一段时间；暂时，一时；同时，一下子；一点钟
いちじに,一時に,同时，一下子
いちじるしい,著しい,显著的，显然的，明显的，非常
いちだんと,一段と,更加
いちど,一度,一次，一回，一遍，一旦，一下子
いちどう,一同,全体，大家
いちどに,一度に,同时
いちにち,一日,一日，终日，一天；某日
いちにんまえ,一人前,一个人的份儿，一份儿；成人；能顶一个人；和普通人一样
いちば,市場,集市，市场，商场
いちばん,一番,最初，第一；最好；最，顶；试试
いちぶ,一部,一部；一份，一部分
いちぶぶん,一部分,一部分
いちめん,一面,一面，另一面，一方面；全体，满；（报纸的）第一版
いちめんをつく,一面を突く,在某方面言之有理
いちもく,一目,一眼，一只眼，一目，一看，一个子儿；差一等
いちよう,一様,一样，同样，平常，普通
いちように,一様に,一样，同样
いちりつ,一律,同样的音律，一律，一样，千篇一律，同样
いちりつに,一律に,一律，一样
いちりゅう,一流,第一流，头等，一个流派，独特
いちれん,一連,一连串，一系列，一串，一令
いつ,何時,何时，几时，什么时候，平时，几点
いつ～か,何時～か,何时，什么时候
いっか,一家,家；一所房子；一家，一个门户，一派；一家子，全家；（一方面的）权威
いつか,何時か,以前，曾经；早晚，迟早，改日；不知不觉
いつか,五日,五日，五号
いっかつ,一括,一包在内，总括起来，一揽子，一并
いっきに,一気に,一口气
いっきょに,一挙に,一举，一下子
いっけん,一見,一见，一看；咋一看，看一次，看一眼
いっこだて,一戸建て,独幢楼房
いっさい,一切,一切，全部；（下接否定）完全，都
いっさくじつ,一昨日,前天
いっさくねん,一昨年,前年
いっしゅ,一種,一种，某种，稍许，一点儿
いっしゅん,一瞬,一瞬，一刹那
いっしょ,一緒,一同，一起，一块儿，一齐
いっしょう,一生,一生，终生，一辈子
いっしょうけんめい,一生懸命,非常努力，拼命
いっしょに,一緒に,一同，一起
いっしん,一心,同心，齐心，一条心，一个心眼儿，一心一意，专心
いっしんに,一心に,专心地
いっせいに,一斉に,一齐，同时
いっそ,,宁可，倒不如
いっそう,一層,更，越发
いったい,一帯,一带，一道，一片
いったい,一体,究竟，到底；大体，整个来说；同心协力；（佛像等）一尊
いったん,一旦,一旦，既然，一次，一度
いっち,一致,一致，符合，相符
いっちゅうや,一昼夜,一昼夜
いつつ,五つ,五个，五岁
いってい,一定,固定，一定，规定
いつでも,何時でも,随时，总是
いっとき,一時,一时，短时间，暂时，一个时期
いつのまにか,,不知什么时候，不知不觉地
いつのまにも,何時の間にも,不知不觉，不知什么时候
いっぱい,一杯,满，满登登，全部，～以内，最大限度；全，都；一杯（酒水），一碗（饭）；
いっぱん,一般,一般，普通；普遍，广泛
いっぱんに,一般に,普通
いっぺん,一変,一变，完全改变，突然改变，改变
いっぽう,一方,一方，一个方向，一面，一方面；（两个中的）一个
いっぽうで,一方で,一方面，单方面（属于书面语）
いつまでも,何時までも,永远，始终，到什么时候都
いつも,何時も,总是，往常，经常，平时，平常
いてん,移転,迁移，搬家；（权利的）转让，转移
いでんし,遺伝子,遗传基因，基因，遗传因子
いと,糸,线；（乐器的）弦；筝，三弦
いと,意図,意图，企图，打算，主意
いど,井戸,井
いど,緯度,纬度
いどう,移動,移动，转移
いどう,異動,调动
いとこ,従兄弟,堂兄弟，表兄弟
いとこ,従姉妹,堂姐妹，表姐妹
いとなむ,営む,营，办，做，从事，经营
いどむ,挑む,挑战，挑衅，寻衅，找碴儿
いない,以内,以内
いなか,田舎,乡下，乡间，农村，乡村；老家
いなびかり,稲光,闪电，闪光，电光，闪
いぬ,犬,狗，犬；特务，奸细，间谍，狗腿子，走狗；无，白，伪，似
いね,稲,稻，稻子
いねかり,稲刈り,割稻子
いねむり,居眠り,瞌睡，打盹儿
いのち,命,生命，命，性命，寿命；关键的东西
いのちをおとす,命を落とす,丧命
いのり,祈り,祈祷，祷告
いのる,祈る,祈祷，祷告；祝愿，希望，愿，祝
いばる,威張る,自豪，说大话，吹牛，自以为了不起，摆架子，骄傲自满
いはん,違反,违反
いびき,鼾,鼾声，声
いふく,衣服,衣服，衣裳
いま,今,现在，当前，目前，此刻；马上，立刻；刚才；另外，再；（接头语）现代的，当今
いま,居間,起居室，起座间，住房
いまさら,今更,事到如今，现在才，到了现在
いましめ,戒め,戒，劝戒，规劝，教训，训诫；惩戒
いまだ,未だ,尚未，迄今
いまに,今に,即将，一会儿，过一会儿，就要；不久，早晚；至今，还
いまにも,今にも,马上，就要，眼看
いまや,今や,现在正，正处在；马上，眼看；现在已经
いみ,意味,意思，意义；意图，动机，理由
いみん,移民,移民；侨民
イメージ,image,形象，心象，意象，表象，印象，像，图像
いもうと,妹,妹，妹妹，小妹，堂妹，小姑
いもうとにみせる,妹に見せる,让妹妹看
いや,否,不，不对，哦，那么
いや,嫌,不愿意，不喜欢，讨厌，厌腻，厌恶；非常，极其
いやいや,嫌嫌,摇头，幼儿摇头表示不愿意；勉勉强强，不得已而～
いやいや,嫌々,摇头，幼儿摇头表示不愿意；勉勉强强，不得已而～
いやがる,嫌がる,嫌，讨厌，不愿意，逃避
いやきがさす,嫌気が差す,厌烦，不耐烦
いやしい,卑しい,贪婪，卑鄙的，下流的；卑贱的，下贱的，贫穷的；嘴馋的
いやす,,（癒す）医治，解除
いやに,嫌に,过于，太，非常；奇怪
いやらしい,嫌らしい,可憎，讨厌，令人作呕，不光明正大，令人讨厌的，下流的
いよいよ,愈々,越发，愈益，更，越发；终于
いよう,異様,奇怪，奇异
いよく,意欲,意志，热情，积极性
いよくがわく,意欲が湧く,热情涌现
いらい,依頼,托，委托，托付，请求；依靠，依赖
いらい,以来,以来，以后
いらいら,苛々,着急，焦躁
いらっしゃる,,（敬语）在，来，去，是
いりぐち,入り口,门口，入口，进口，开始
いりぐち,入口,入口，门口，进门
いりょう,衣料,衣服和衣料
いりょう,医療,医疗，治疗
いりょうひ,医療費,医疗费，治疗费
いりょく,威力,威力
いる,炒る,炒，炒干
いる,煎る,炒，煎 
いる,居る,有，在，居住；坐；（表示动作，作用，状态的继续进行中）在～中
いる,要る,要，需要，必要，得
いるい,衣類,衣服，衣裳
いれもの,入れ物,容器，器具，器皿
いれる,入れる,收进，放进，装进，放入；让进；送进，收容，收纳；交纳；插进；包含；新加入，新参加；雇；购进，购置；插；打；泡（茶）；接收
